AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4041,Subway and Streetcar Operators,detailed,"14,860",0.7,,,,,37.20,"77,370",0.4,26.29,35.37,40.51,40.53,41.88,"54,690","73,570","84,270","84,310","87,110",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4090,Miscellaneous Rail Transportation Workers,broad,"1,830",8.6,,,,,24.39,"50,730",1.4,17.03,18.91,21.47,26.12,41.10,"35,420","39,330","44,660","54,320","85,490",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-4099,"Rail Transportation Workers, All Other",detailed,"1,830",8.6,,,,,24.39,"50,730",1.4,17.03,18.91,21.47,26.12,41.10,"35,420","39,330","44,660","54,320","85,490",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-5000,Water Transportation Workers,minor,"76,040",2.2,,,,,38.00,"79,030",1.3,17.25,22.66,31.22,47.86,64.38,"35,880","47,130","64,930","99,560","133,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-5010,Sailors and Marine Oilers,broad,"29,960",3.9,,,,,25.71,"53,470",1.3,15.50,18.25,23.27,30.14,38.07,"32,240","37,960","48,400","62,700","79,180",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-5011,Sailors and Marine Oilers,detailed,"29,960",3.9,,,,,25.71,"53,470",1.3,15.50,18.25,23.27,30.14,38.07,"32,240","37,960","48,400","62,700","79,180",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-5020,Ship and Boat Captains and Operators,broad,"37,220",2.3,,,,,45.42,"94,480",1.7,19.57,27.91,39.72,57.88,77.52,"40,710","58,050","82,630","120,380","161,240",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-5021,"Captains, Mates, and Pilots of Water Vessels",detailed,"34,520",2.7,,,,,47.03,"97,820",1.5,21.44,29.11,42.66,59.44,77.65,"44,600","60,550","88,730","123,640","161,510",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-5022,Motorboat Operators,detailed,"2,710",8.2,,,,,24.91,"51,810",2.4,13.89,17.24,22.32,31.01,38.92,"28,890","35,860","46,420","64,490","80,960",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-5030,Ship Engineers,broad,"8,860",3.4,,,,,48.34,"100,550",1.1,27.47,33.12,45.32,58.84,68.23,"57,140","68,880","94,270","122,390","141,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-5031,Ship Engineers,detailed,"8,860",3.4,,,,,48.34,"100,550",1.1,27.47,33.12,45.32,58.84,68.23,"57,140","68,880","94,270","122,390","141,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,53-6000,Other Transportation Workers,minor,"305,390",1.9,,,,,19.28,"40,110",0.6,12.76,14.39,16.84,19.77,28.48,"26,540","29,930","35,020","41,120","59,250",,
